poach /pəʊtʃ/ (v) | Săn trộm
assess /əˈses/ (v) | Định giá
asset /ˈæset/ (n) | Tài sản (công ty có thể dùng để trả nợ)
counter /ˈkaʊntər/ (n) | Quầy (thu tiền, giao dịch)
regulate /ˈreɡjuleɪt/ (v) | Quản lý, quy định
year-round /ˌjɪr ˈraʊnd/ (adj) | Quanh năm
worth /wɜːrθ/ (adj) | Đáng giá, đáng, bõ công
throw out /θrəʊ aʊt/ (phrV) | Vứt bỏ, loại bỏ
pay off a debt /peɪ ɔːf eɪ det/ (phrase) | Trả nợ, trả hết khoản nợ đã vay
overall /ˌəʊvərˈɔːl/ (adj) | Toàn bộ, toàn thể, tất cả
opt /ɑːpt/ (v) | Chọn lựa, quyết định tham gia hoặc không
hamper /ˈhæmpər/ (v) | Làm vướng, cản trở, ngăn trở
revenue /ˈrevənuː/ (n) | Thu nhập, tổng thu nhập
conservative /kənˈsɜːrvətɪv/ (adj) | Bảo thủ, dè dặt, thận trọng
closure /ˈkləʊʒər/ (n) | Sự kết thúc, bế mạc, đóng cửa
marginal /ˈmɑːrdʒɪnl/ (adj) | Cận biên (kinh tế), ở lề
distribute /dɪˈstrɪbjuːt/ (v) | Phân phối
quarter /ˈkwɔːrtər/ (n) | Quý (trong năm)
cost breakdown /kɔːst ˈbreɪkdaʊn/ (phrase) | Bản phân tích chi phí
partially /ˈpɑːrʃəli/ (adv) | Cục bộ, một phần (thường về thể chất, vật chất)
turnover /ˈtɜːrnəʊvər/ (n) | Doanh số
significant /sɪɡˈnɪfɪkənt/ (adj) | Đáng kể, nổi bật
consume /kənˈsuːm/ (v) | Tiêu thụ, tiêu dùng
amendment /əˈmendmənt/ (n) | Sự sửa đổi, hiệu chỉnh (liên quan đến pháp luật, hiến pháp)
under the provisions of /ˈʌndər ðə prəˈvɪʒnz əv/ (phrase) | Theo như các điều khoản của
be subject to /bi ˈsʌbdʒekt tu/ (phrase) | Dễ bị, khó tránh, tùy thuộc vào
resolve /rɪˈzɑːlv/ (v) | Quyết định
promptly /ˈprɑ:mptli/ (adv) | Mau lẹ, ngay lập tức, không chậm trễ
lock into /lɑk ˈɪntə/ (phrV) | Cam kết, trói buộc vào
lease /liːs/ (n) | Hợp đồng cho thuê
get out of /ɡet aʊt əv/ (phrase) | Thoát khỏi, tránh khỏi (nhiệm vụ, nghĩa vụ)
negotiate /nɪˈɡəʊʃieɪt/ (v) | Thương lượng, đàm phán
obligated /ˈɑːblɪɡeɪtɪd/ (adj) | Buộc phải, bị ràng buộc
party /ˈpɑːrti/ (n) | Bên, nhóm, đảng
obligation /ˌɑːblɪˈɡeɪʃn/ (n) | Nghĩa vụ, bổn phận
abide by /əˈbaɪd baɪ/ (phrV) | Tuân theo (luật lệ, hợp đồng)
clarify /ˈklærəfaɪ/ (v) | Làm rõ
agreement /əˈɡriːmənt/ (n) | Hợp đồng, bản thỏa thuận
seek /siːk/ (v) | Cố gắng
reconcile /ˈrekənsaɪl/ (v) | Hòa giải, làm cho hòa hợp
pull out /pʊl aʊt/ (phrV) | Kéo ra, rời khỏi, rút khỏi
propose /prəˈpəʊz/ (v) | Đề nghị, đề xuất, đưa ra
partnership /ˈpɑːrtnərʃɪp/ (n) | Sự hợp tác, cộng tác
counterpart /ˈkaʊntərpɑːrt/ (n) | Bên tương ứng, người đồng cấp, đối tác
compromise /ˈkɑːmprəmaɪz/ (n) | Sự thỏa hiệp
commit /kəˈmɪt/ (v) | Cam kết
promotional budget /prəˈməʊʃənl ˈbʌdʒɪt/ (phrase) | Ngân sách quảng cáo
a marketing campaign /ə ˈmɑːrkɪtɪŋ kæmˈpeɪn/ (phrase) | Một chiến dịch tiếp thị
factor /ˈfæktər/ (n) | Nhân tố
come up with /kʌm ʌp wɪð/ (phrV) | Nảy ra (ý tưởng)
coincide /ˌkəʊɪnˈsaɪd/ (v) | Trùng khớp, xảy ra đồng thời
be responsive to /bi rɪˈspɑːnsɪv tu/ (phrase) | Sẵn sàng đáp ứng, phản ứng nhanh
advertise /ˈædvərtaɪz/ (v) | Quảng cáo
dominate the market /ˈdɑːmɪneɪt ðə ˈmɑːrkɪt/ (phrase) | Chiếm ưu thế thị trường, chiếm lĩnh thị trường
demand /dɪˈmænd/ (n) | Nhu cầu
customer satisfaction /ˈkʌstəmər ˌsætɪsˈfækʃn/ (phrase) | Sự hài lòng của khách hàng
market share /ˌmɑːrkɪt ˈʃer/ (n) | Thị phần
aggressively /əˈɡresɪvli/ (adv) | Quyết liệt, ráo riết, hung hăng
convince /kənˈvɪns/ (v) | Thuyết phục
competitor /kəmˈpetɪtər/ (n) | Đối thủ cạnh tranh
competition /ˌkɑːmpəˈtɪʃn/ (n) | Sự cạnh tranh
run out /rʌn aʊt/ (phrV) | Hết, cạn kiệt, hết hạn
relatively /ˈrelətɪvli/ (adv) | Khá là
proper /ˈprɑːpər/ (a) | Thích hợp, theo quy tắc, đúng cách
profitably /ˈprɑːfɪtəbli/ (adv) | Có lợi nhuận, có ích, có lợi
operate /ˈɑːpəreɪt/ (v) | Vận hành (hoạt động kinh doanh)
diversify /daɪˈvɜːrsɪfaɪ/ (v) | Đa dạng hóa
franchise /ˈfræntʃaɪz/ (n) | Sự nhượng quyền kinh doanh
prime /praɪm/ (adj) | Chủ yếu, cơ bản, sơ khai
attempt /əˈtempt/ (n) | Sự cố gắng, nỗ lực, sự thử
assignment /əˈsaɪnmənt/ (n) | Nhiệm vụ, bài tập (được giao)
allocate /ˈæləkeɪt/ (v) | Cấp cho, phân phát
business associate /ˈbɪznəs əˈsəʊsieɪt/ (phrase) | Người cộng tác, đối tác kinh doanh
associate /əˈsəʊsieɪt/ (v) | Liên tưởng, liên kết (về mặt ý nghĩ)
acquisition /ˌækwɪˈzɪʃn/ (n) | Sự mua lại (công ty)
acquire /əˈkwaɪər/ (v) | Có được, thu mua được
strategic /strəˈtiːdʒɪk/ (adj) | Có tính chiến lược
unprecedented /ʌnˈpresɪdentɪd/ (adj) | Chưa từng xảy ra, chưa từng có
anticipate /ænˈtɪsɪpeɪt/ (v) | Dự đoán, lường trước, dự tính trước
cross-cultural /ˌkrɔːs ˈkʌltʃərəl/ (adj) | Từ nhiều nền văn hóa, đa văn hóa
entrepreneur /ˌɑːntrəprəˈnɜːr/ (n) | Doanh nhân
follow-up /ˈfɑːləʊ ʌp/ (adj) | Tiếp tục, tiếp theo, theo sau
facilitate /fəˈsɪlɪteɪt/ (v) | Làm cho dễ dàng, tạo điều kiện thuận lợi
quantity /ˈkwɑːntəti/ (n) | Số lượng
representative /ˌreprɪˈzentətɪv/ (n) | Người đại diện
retail /ˈriːteɪl/ (n) | Bán lẻ
wholesale /ˈhəʊlseɪl/ (adv) | Bán buôn, mua bán số lượng lớn
strictly /ˈstrɪktli/ (adv) | Một cách nghiêm khắc, chặt chẽ
joint venture /ˌdʒɔɪnt ˈventʃər/ (n) | Sự liên doanh, hợp doanh
adapt /əˈdæpt/ (v) | Thích nghi, thích ứng
merchandise /ˈmɜːrtʃəndaɪz/ (n) | Hàng hóa
domestic /dəˈmestɪk/ (adj) | Trong nước, nội địa
commercial /kəˈmɜːrʃl/ (adj) | Thuộc thương mại (thường đem lại lợi nhuận hoặc dự định tạo lợi nhuận)
ascertain /ˌæsərˈteɪn/ (v) | Xác định, tìm hiểu chắc chắn
burden /ˈbɜːrdn/ (n) | Gánh nặng
periodically /ˌpɪriˈɑːdɪkli/ (adv) | Định kỳ, theo chu kỳ
deflation /ˌdiːˈfleɪʃn/ (n) | Giảm phát (sự giảm giá chung)
overview /ˈəʊvərvjuː/ (n) | Tổng quan, bao quát
criminal /ˈkrɪmɪnl/ (adj) | Có tính hình sự
mugging /ˈmʌɡɪŋ/ (n) | Trấn lột
rape /reip/ (n) | Sự hãm hiếp
terrorism /'terərizəm/ (n) | Sự khủng bố
robbery /ˈrɑːbəri/ (n) | Sự ăn cướp, vụ ăn cướp
corruption /kə'rʌp∫n/ (n) | Sự tham nhũng
murder /ˈmɜːrdər/ (n) | Sự giết hại, ám sát
drug addiction /drʌg ə'dik∫n/ (phrase) | Nghiện ma túy
violence /ˈvaɪələns/ (n) | Bạo lực
broadcast /ˈbrɔːdkæst/ (v) | Chiếu, phát sóng
diving /ˈdaɪvɪŋ/ (n) | Sự lặn
compose /kəmˈpəʊz/ (v) | Sáng tác
critic /ˈkrɪtɪk/ (n) | Nhà phê bình
poetry /ˈpəʊətri/ (n) | Thơ
artwork /ˈɑːrtwɜːrk/ (n) | Tác phẩm nghệ thuật
pottery /ˈpɑːtəri/ (n) | Nghề gốm
transmit /trænzˈmɪt/ (v) | Truyền tải, truyền phát
purse /pɜːrs/ (n) | Ví tiền
inflation /ɪnˈfleɪʃn/ (n) | Sự lạm phát (sự tăng mức giá chung)
major currency /ˈmeɪdʒər ˈkɜːrənsi/ (phrase) | Đồng tiền mạnh
cheque /tʃek/ (n) | Séc
note /nəʊt/ (n) | Tiền giấy
mortgage /ˈmɔːrɡɪdʒ/ (n) | Khoản vay thế chấp
interest /ˈɪntrəst/ (n) | Lãi suất (tài chính), tiền lãi
bank teller /ˈbæŋk telər/ (phrase) | Giao dịch viên
withdraw /wɪðˈdrɔː/ (v) | Rút tiền
loan /ləʊn/ (n) | Món vay
deposit /dɪˈpɑːzɪt/ (v) | Gửi tiền
wage /weɪdʒ/ (n) | Tiền công, tiền lương
pension /ˈpenʃn/ (n) | Tiền lương hưu
income tax /ˈɪnkʌm tæks/ (n) | Thuế thu nhập
income /ˈɪnkʌm/ (n) | Thu nhập
gratuity /ɡrəˈtuːəti/ (n) | Tiền boa
dividend /ˈdɪvɪdend/ (n) | Tiền lãi, cổ tức
commission /kəˈmɪʃn/ (n) | Tiền hoa hồng
allowance /əˈlaʊəns/ (n) | Tiền trợ cấp, tiền tiêu vặt
supply cabinet /səˈplaɪ ˈkæbɪnət/ (phrase) | Tủ vật dụng
stapler /ˈsteɪplər/ (n) | Dụng cụ dập ghim
staple /ˈsteɪpl/ (v) | Dập ghim
stacking tray /stækɪŋ treɪ/ (phrase) | Khay đựng hồ sơ
rubber stamp /ˌrʌbər ˈstæmp/ (n) | Con dấu cao su
paper shredder /ˈpeɪpər ˈʃredər/ (phrase) | Máy hủy tài liệu
paper clip /ˈpeɪpər klɪp/ (n) | Kẹp giấy
glue /ɡluː/ (n) | Hồ dán, băng keo
observation skill /ˌɑːbzərˈveɪʃn skɪl/ (phrase) | Kĩ năng quan sát
negotiation skill /nɪˌɡəʊʃiˈeɪʃn skɪl/ (phrase) | Kĩ năng đàm phán
leadership skill /ˈliːdərʃɪp skɪl/ (phrase) | Kĩ năng lãnh đạo
employer /ɪmˈplɔɪər/ (n) | Chủ, người sử dụng lao động, nhà tuyển dụng
chief executive officer /ˌtʃiːf ɪɡˌzekjətɪv ˈɑːfɪsər/ (n) | Giám đốc điều hành
planning manager /ˈplænɪŋ ˈmænɪdʒər/ (phrase) | Trưởng phòng kế hoạch
sales manager /seɪls ˈmænɪdʒər/ (phrase) | Trưởng phòng kinh doanh, Giám đốc kinh doanh
chairman /ˈtʃermən/ (n) | Chủ tịch
vice-chairman /vaɪs ˈtʃermən/ (phrase) | Phó chủ tịch
home attendant /həʊm əˈtendənt/ (phrase) | Người giúp việc
gardener /ˈɡɑːrdnər/ (n) | Người làm vườn
florist /ˈflɔːrɪst/ (n) | Người bán hoa
firefighter /ˈfaɪərfaɪtər/ (n) | Lính cứu hỏa
cashier /kæˈʃɪr/ (n) | Nhân viên thu ngân
carpenter /ˈkɑːrpəntər/ (n) | Thợ mộc
baker /ˈbeɪkər/ (n) | Thợ làm bánh
architect /ˈɑːkɪtekt/ (n) | Kiến trúc sư
accountant /əˈkaʊntənt/ (n) | Nhân viên kế toán
pharmaceutical industry /ˌfɑːrməˈsuːtɪkl ˈɪndəstri/ (phrase) | Công nghiệp dược phẩm
fishery /ˈfɪʃəri/ (n) | Ngư nghiệp
construction /kənˈstrʌkʃn/ (n) | Công trình xây dựng
forestry /ˈfɔːrɪstri/ (n) | Lâm nghiệp
agriculture /ˈæɡrɪkʌltʃər/ (n) | Nông nghiệp
inject /ɪnˈdʒekt/ (v) | Tiêm
treatment /ˈtriːtmənt/ (n) | Sự điều trị
bandage /ˈbændɪdʒ/ (n) | Băng gạc
toothache /ˈtuːθeɪk/ (n) | Đau răng
peaky /ˈpiːki/ (adj) | Xanh xao
fever /ˈfiːvər/ (n) | Sốt
drunk /drʌŋk/ (adj) | Say rượu
tunnel /ˈtʌnl/ (n) | Đường hầm
sidewalk /ˈsaɪdwɔ:k/ (n) | Vỉa hè (Anh Mỹ)
pavement /ˈpeɪvmənt/ (n) | Vỉa hè
gasoline station /ˈɡæsəliːn steɪʃn/ (n) | Trạm xăng
parking spot /ˈpɑ:rkɪŋ spɑ:t/ (phrase) | Chỗ đỗ xe
rear tire /rɪr ˈtaɪər/ (phrase) | Lốp sau
air valve /er vælv/ (phrase) | Van khí
tire pump /ˈtaɪər pʌmp/ (phrase) | Bơm lốp xe
saddle /ˈsædl/ (n) | Yên xe
rim /rɪm/ (n) | Vành bánh xe
pedal /ˈpedl/ (n) | Bàn đạp
chain /tʃeɪn/ (n) | Bộ xích
terminus /ˈtɜːrmɪnəs/ (n) | Điểm dừng cuối
inspector /ɪnˈspektər/ (n) | Người thanh tra, người kiểm tra
fare /fer/ (n) | Tiền vé, tiền xe (đò, phà)
seat belt /ˈsiːt belt/ (n) | Dây an toàn
steering wheel /ˈstɪrɪŋ wi:l/ (n) | Cái vô lăng
windshield wiper /ˈwɪndʃiːld waɪpər/ (phrase) | Cần gạt nước
bumper /ˈbʌmpər/ (n) | Thanh cản (trước hoặc sau ô tô) để giảm va đập
fender /ˈfendər/ (n) | Cái chắn bùn
hood /hʊd/ (n) | Mui xe
exhaust emission /ɪɡˈzɔ:st ɪˈmɪʃn/ (phrase) | Khí thải
flat tire /flæt ˈtaɪər/ (phrase) | Bánh xe xịt lốp
rush hour /ˈrʌʃ aʊər/ (n) | Giờ cao điểm
crash /kræʃ/ (n) | Sự đụng xe, vụ va chạm
traffic jam /ˈtræfɪk dʒæm/ (n) | Tắc đường
traffic congestion /ˈtræfɪk kənˈdʒestʃən/ (phrase) | Tắc nghẽn giao thông
intersection /ˈɪntərsekʃn/ (n) | Giao lộ
boulevard /ˈbʊləvɑːrd/ (n) | Đại lộ
highway /ˈhaɪweɪ/ (n) | Đường cao tốc
telephone pole /ˈtelɪfəʊn pəʊl/ (n) | Cột điện
fire hydrant /ˈfaɪər ˈhaɪdrənt/ (n) | Cột nước cứu hỏa (trên đường phố)
crosswalk /ˈkrɔːswɔːk/ (n) | Đường đi bộ
scooter /ˈskuːtər/ (n) | Xe tay ga nhỏ
truck /trʌk/ (n) | Xe tải
drought /draʊt/ (n) | Hạn hán
tidal wave /ˈtaɪdl weɪv/ (n) | Sóng thần
rainstorm /ˈreɪnstɔ:rm/ (n) | Mưa bão
hurricane /ˈhɜːrəkeɪn/ (n) | Cuồng phong, bão lốc
flood /flʌd/ (n) | Lũ lụt
hill /hɪl/ (n) | Đồi, ngọn đồi
desert /ˈdezərt/ (n) | Sa mạc
universe /ˈjuːnɪvɜːrs/ (n) | Vũ trụ (và vạn vật trong đó)
comet /ˈkɑːmɪt/ (n) | Sao chổi
humidity /hjuːˈmɪdəti/ (n) | Độ ẩm
docent /ˈdəʊsnt/ (n) | Người hướng dẫn
era /ˈerə/ (n) | Thời đại
preservation /ˌprezərˈveɪʃn/ (n) | Sự gìn giữ, bảo tồn
maintain /meɪnˈteɪn/ (v) | Duy trì
curator /ˈkjʊreɪtər/ (n) | Người phụ trách
ancient /ˈeɪnʃənt/ (adj) | Cổ đại
exhibition /ˌeksɪˈbɪʃn/ (n) | Triển lãm
historic site /hɪˈstɔːrɪk saɪt/ (phrase) | Di tích lịch sử
prejudice /ˈpredʒədɪs/ (n) | Thành kiến, định kiến
racism /ˈreɪsɪzəm/ (n) | Phân biệt chủng tộc
cultural heritage /ˈkʌltʃərəl ˈherɪtɪdʒ/ (phrase) | Di sản văn hóa
cultural integration /ˈkʌltʃərəl ˌɪntɪˈɡreɪʃn/ (phrase) | Hội nhập văn hóa
go skating /ɡəʊ ˈskeɪtɪŋ/ (phrase) | Trượt patin, trượt băng
go snowboarding /ɡəʊ ˈsnəʊbɔːrdɪŋ/ (phrase) | Trượt tuyết
go hiking /ɡəʊ ˈhaɪkɪŋ/ (phrase) | Đi bộ đường dài, leo bộ
go surfing /ɡəʊ ˈsɜːrfɪŋ/ (phrase) | Lướt sóng (bằng ván)
take pictures of /teɪk ˈpiktʃər əv/ (phrase) | Chụp ảnh (cái gì)
take a tour of /teɪk eɪ tʊr əv/ (phrase) | Đi tham quan một vòng
go sightseeing in /ɡəʊ ˈsaɪtsiːɪŋ ɪn/ (phrase) | Đi ngắm cảnh ở
caravanserai /ˌkærəˈvænsəraɪ/ (n) | Trạm dừng chân
campsite /ˈkæmpsaɪt/ (n) | Khu cắm trại
leisure travel /ˈli:ʒər ˈtrævl/ (phrase) | Du lịch giải trí phổ thông
expedition /ˌekspəˈdɪʃn/ (n) | Du lịch thám hiểm
cruise /kru:z/ (n) | Du lịch bằng thuyền
backpacking /ˈbækpækɪŋ/ (n) | Du lịch bụi
agritourism /æɡrɪ'tʊrɪzəm/ (n) | Du lịch đồng quê
suitcase /ˈsuːtkeɪs/ (n) | Va li
rucksack  /ˈrʌksæk/ (n) | Ba lô
mount Fuji /maʊnt fuji/ (n) | Núi Phú Sỹ
the Statue of Liberty /ðə ˌstætʃuː əv ˈlɪbərti/ (phrase) | Tượng nữ thần tự do
luggage /ˈlʌɡɪdʒ/ (n) | Hành lý
motel /məʊˈtel/ (n) | Nhà nghỉ
receptionist /rɪˈsepʃənɪst/ (n) | Lễ tân, nhân viên tiếp tân
twin room /'twɪn ,ruːm/ (phrase) | Phòng đôi
greasy /ˈɡriːsi/ (adj) | Nhiều dầu
bitter /ˈbɪtər/ (adj) | (Vị) Đắng
tasty /ˈteɪsti/ (adj) | Ngon
sour /ˈsaʊər/ (adj) | Có vị chua
bland /blænd/ (adj) | (Vị) Nhạt, nhạt nhòa
vinegar /ˈvɪnɪɡər/ (n) | Giấm
turmeric /ˈtɜːrmərɪk/ (n) | Nghệ
spice /spaɪs/ (n) | Gia vị
plum  /plʌm/ (n) | Quả mận
pear /per/ (n) | Quả lê
broccoli /ˈbrɑːkəli/ (n) | Súp lơ xanh
cabbage /ˈkæbɪdʒ/ (n) | Bắp cải
garlic /ˈgɑːrlɪk/ (n) | Tỏi
onion /ˈʌnjən/ (n) | Hành tây, củ hành
decaf coffee /ˈdiːkæf ˈkɔ:fi/ (phrase) | Cà phê không cafein
change /tʃeɪndʒ/ (n) | Tiền thừa
brew /bruː/ (v) | Pha (cà phê, trà)
instant coffee /ˈɪnstənt ˈkɔːfi/ (phrase) | Cà phê hoà tan
jam /dʒæm/ (n) | Mứt
cricket /ˈkrɪkɪt/ (n) | Dế
cockroach /ˈkɑːkrəʊtʃ/ (n) | Con gián
dragonfly /ˈdræɡənflaɪ/ (n) | Chuồn chuồn
mosquito /məˈskiːtəʊ/ (n) | Con muỗi
log /lɔːɡ/ (n) | Khúc gỗ
fertilizer /ˈfɜːrtəlaɪzər/ (n) | Phân bón
apricot blossom /ˈæprɪkɑːt ˈblɑːsəm/ (phrase) | Hoa mai
peach blossom /piːtʃ ˈblɑːsəm/ (phrase) | Hoa đào
marigold /ˈmæriɡəʊld/ (n) | Hoa cúc vạn thọ
orchid /ˈɔːrkɪd/ (n) | Hoa lan
tie /taɪ/ (n) | Cà vạt
hairpin /ˈherpɪn/ (n) | Kẹp tóc
jewelry /ˈdʒuːəlri/ (n) | Đồ trang sức
belt /belt/ (n) | Thắt lưng da
trainers /ˈtreɪnərz/ (n) | Giày thể dục, giày thể thao
scarf /skɑ:rf/ (n) | Khăn quàng
socks /sɑ:ks/ (n) | Tất chân
recruitment and employment management /rɪˈkruːtmənt ənd ɪmˈplɔɪmənt ˈmænɪdʒmənt/ (phrase) | Quản lý tuyển dụng
throughput /ˈθruːpʊt/ (n) | Thông lượng
offshore /ˌɔːfˈʃɔːr/ (adj) | Có trụ sở tại nước ngoài (nơi mức thuế ưu đãi hơn)
ubiquitous network /juːˈbɪkwɪtəs ˈnetwɜːrk/ (phrase) | Mạng lưới kết nối rộng khắp
nail polish /neɪl ˈpɑːlɪʃ/ (n) | Sơn móng tay
eyeliner /ˈaɪlaɪnər/ (n) | Bút kẻ mắt
gorgeous /ˈɡɔ:rdʒəs/ (adj) | Lộng lẫy
dress up /dres ʌp/ (phrV) | Mặc đẹp
hairdresser /ˈherdresər/ (n) | Thợ làm tóc
ugly /ˈʌɡli/ (adj) | Xấu xí
attractive /əˈtræktɪv/ (adj) | Cuốn hút
dye /dai/ (v) | Nhuộm tóc
blond hair /blɑ:nd her/ (phrase) | Tóc vàng
curly hair /ˈkɜːrli her/ (n) | Tóc xoăn
eyeshadow /ˈaɪʃædəʊ/ (n) | Phấn mắt
powder /ˈpaʊdər/ (n) | Phấn (để đánh trang điểm)
lipstick /ˈlɪpstɪk/ (n) | Son môi
trousers /ˈtraʊzərz / (n) | Quần Âu
tie /taɪ/ (v) | Thắt, buộc
blouse /blaʊs/ (n) | Áo cánh (cho nữ)
bathrobe /ˈbæθrəʊb/ (n) | Áo choàng tắm
jumper /ˈdʒʌmpər/ (n) | Áo chui đầu
underwear /ˈʌndərwer/ (n) | Đồ lót
sweater /ˈswetər/ (n) | Áo len
jacket /ˈdʒækɪt/ (n) | Áo khoác
casual /ˈkæʒuəl/ (adj) | Đời thường
swing /swɪŋ/ (n) | Cái xích đu
ferris wheel /ˈferɪs wiːl/ (n) | Đu quay
roller coaster /ˈrəʊlər kəʊstər/ (n) | Tàu lượn siêu tốc
bench /bentʃ/ (n) | Ghế dài, ghế băng
botanical /bəˈtænɪkl/ (adj) | (Thuộc về) Thực vật
box office /ˈbɑːks ɑːfɪs/ (n) | Phòng vé
hang out /ˈhæŋ aʊt/ (phrV) | Đi chơi
trumpet /ˈtrʌmpɪt/ (n) | Cái kèn
drum /drʌm/ (n) | Trống
folk music /fəʊk ˈmjuːzɪk/ (n) | Nhạc dân gian
starter /ˈstɑːrtər/ (n) | Món khai vị
waitress /ˈweɪtrəs/ (n) | Bồi bàn nữ
amusement park /əˈmjuːzmənt pɑːrk/ (n) | Công viên giải trí
pool /pu:l/ (n) | Bể bơi
circus /ˈsɜːrkəs/ (n) | Rạp xiếc
funfair /ˈfʌnfer/ (n) | Hội chợ vui chơi
jigsaw puzzle /ˈdʒɪɡsɔː ˈpʌzl/ (phrase) | Trò ghép hình
coach /kəʊtʃ/ (n) | Huấn luyện viên
agent /ˈeɪdʒənt/ (n) | Người đại lý, đại diện
newsagent /ˈnuːzeɪdʒənt/ (n) | Sạp bán báo
fishmonger /ˈfɪʃmɑːŋɡər/ (n) | Người bán cá
stationery /ˈsteɪʃəneri/ (n) | Văn phòng phẩm
butcher /ˈbʊtʃər/ (n) | Người bán thịt
grocery store /ˈɡrəʊsəri stɔːr/ (phrase) | Cửa hàng tạp hóa
peel /pi:l/ (v) | Gọt vỏ
stew /stu:/ (v) | Hầm (món ăn)
steam /sti:m/ (v) | Hấp (món ăn)
bake /beɪk/ (v) | Nướng (bánh, đồ ăn trong lò)
roast /rəʊst/ (v) | Quay, nướng, rang (món ăn)
toast /təʊst/ (v) | Nướng (bánh mì)
boil /bɔɪl/ (v) | Luộc (đồ ăn)
argue /ˈɑːrɡjuː/ (v) | Tranh cãi, tranh luận
nail /neɪl/ (n) | Cái đinh
drill /drɪl/ (n) | Cái khoan
exhaust pipe /ɪɡˈzɔːst paɪp/ (n) | Ống xả
screwdriver /ˈskruːdraɪvər/ (n) | Tuốc nơ vít
tyre /ˈtaɪər/ (n) | Lốp xe
sprinkler /ˈsprɪŋklər/ (n) | Bình tưới nước
shovel /ˈʃʌvl/ (n) | Cái xẻng xúc đất
furniture /ˈfɜːrnɪtʃər/ (n) | Đồ nội thất
patio /ˈpætiəʊ/ (n) | Sân sau nhà
lawn /lɔːn/ (n) | Bãi cỏ, thảm cỏ
hose /həʊz/ (n) | Ống nước có vòi (để tưới cây)
saucepan /ˈsɔ:spæn/ (n) | Cái xoong (có cán dài để cầm và có nắp)
scissors /ˈsɪzərz/ (n) | Cái kéo
sink /sɪŋk/ (n) | Bồn rửa
skillet /ˈskɪlɪt/ (n) | Cái chảo (có lòng sâu và tay cầm dài)
spoon /spuːn/ (n) | Cái thìa
pot /pɑːt/ (n) | Cái nồi
refrigerator /rɪˈfrɪdʒəreɪtər/ (n) | Tủ lạnh
towel /ˈtaʊəl/ (n) | Cái khăn
bathtub /ˈbæθtʌb/ (n) | Bồn tắm
tap /tæp/ (n) | Vòi nước
sink /sɪŋk/ (n) | Bồn rửa
dew /du:/ (n) | Sương
pillow /ˈpɪləʊ/ (n) | Cái gối
slippers /ˈslɪpərz/ (n) | Dép đi trong nhà
comforter /ˈkʌmfərtər/ (n) | Chăn bông
rug /rʌɡ/ (n) | Thảm (trải bậc cửa)
bureau /ˈbjʊrəʊ/ (n) | Tủ có ngăn
sheet /ʃiːt/ (n) | Ga trải giường
blanket /ˈblæŋkɪt/ (n) | Cái chăn
fireplace /ˈfaɪərpleɪs/ (n) | Lò sưởi
curtain /ˈkɜːrtn/ (n) | Rèm
yard /jɑːrd/ (n) | Thước (đơn vị đo chiều dài)
a quarter to four /ə ˈkwɔːrtər tuː fɔːr/ (phrase) | Bốn giờ kém mười lăm
a quarter past four /ə ˈkwɔːrtər pæst fɔːr/ (phrase) | Bốn giờ mười lăm
colleague /ˈkɑːliːɡ/ (n) | Đồng nghiệp
curious /ˈkjʊriəs/ (adj) | Tò mò
elder /ˈeldər/ (adj) | Lớn tuổi hơn
puberty /ˈpjuːbərti/ (n) | Tuổi dậy thì
underage /ˈʌndəreɪdʒ/ (adj) | Chưa đủ tuổi (để làm gì đó)
tween /twiːn/ (n) | Thiếu nhi
toddler /ˈtɑːdlər/ (n) | Đứa bé mới biết đi
sincere /sɪnˈsɪr/ (adj) | Chân thành, thành thực
confident /ˈkɑːnfɪdənt/ (adj) | Tự tin
careless /ˈkerləs/ (adj) | Cẩu thả, bất cẩn
fat /fæt/ (adj) | Béo
chubby /ˈtʃʌbi/ (adj) | Mũm mĩm
stocky /ˈstɑːki/ (adj) | Thấp và chắc nịch
muscular /ˈmʌskjələr/ (adj) | Có cơ bắp
well-built /ˌwel ˈbɪlt/ (adj) | Lực lưỡng
skinny /ˈskɪni/ (adj) | Rất gầy, gầy gò
knee /niː/ (n) | Đầu gối
subject head /ˈsʌbdʒɪkt hed/ (phrase) | Chủ nhiệm bộ môn
internship report /ˈɪntɜːrnʃɪp rɪˈpɔːrt/ (phrase) | Báo cáo thực tập
credit /ˈkredɪt/ (n) | Tín chỉ (học)
regular full-time /ˈreɡjələr ˌfʊl ˈtaɪm/ (phrase) | Đào tạo chính quy
chalk /tʃɔːk/ (n) | Phấn (viết bảng)
sharpener /ˈʃɑːrpnər/ (n) | Gọt bút chì
crayon /ˈkreɪən/ (n) | Bút chì màu
glisten /ˈɡlɪsn/ (verb) | Sáng long lanh, lấp lánh (do có ánh nước)
scouting /ˈskaʊtɪŋ/ (n) | Hoạt động hướng đạo
extracurricular /ˌekstrə kəˈrɪkjələr/ (adj) | Ngoại khóa
cheerleader /ˈtʃɪrliːdər/ (n) | Hoạt náo viên
objective test /əbˈdʒektɪv test/ (phrase) | Thi trắc nghiệm
truant /ˈtruːənt/ (v) | Trốn học
principal /ˈprɪnsəpl/ (n) | Hiệu trưởng
Huong|Xin chào
Hello|Hi
Hiand|Chạ
Hello bé cưng|Xin chào
